command,algo,testname,num_features,num_inputs,mlspl_query,result_count,result_message,disk_write(kb),cpu_percent(%),command_time(sec),cpu_time(sec),memory(mb),run_time(sec)
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i500_f10,10,500,| inputlookup cover_500.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_LinearRegression_t500_f10,500,Good Job,8.0,93.9,0.394,0.59,65.0,1.174
fit,SGDRegressor,aws.m3.large_fit_SGDRegressor_i200000_f20,20,200000,| inputlookup cover_200000.csv | fit SGDRegressor "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 into model_SGDRegressor_t200000_f20,100000,Good Job,44.0,103.1,18.585,5.88,514.0,27.232
fit,SGDRegressor,aws.m3.large_fit_SGDRegressor_i500000_f20,20,500000,| inputlookup cover_500000.csv | fit SGDRegressor "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 into model_SGDRegressor_t500000_f20,100000,Good Job,60.0,103.2,29.514,8.69,539.0,45.143
fit,SGDRegressor,aws.m3.large_fit_SGDRegressor_i1000000_f20,20,1000000,| inputlookup cover_1000000.csv | fit SGDRegressor "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 into model_SGDRegressor_t1000000_f20,100000,Good Job,76.0,103.1,45.443,12.6,561.0,72.474
fit,SGDRegressor,aws.m3.large_fit_SGDRegressor_i500_f50,50,500,| inputlookup cover_500.csv | fit SGDRegressor "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 Soil_Type_7 Soil_Type_8 Soil_Type_9 Soil_Type_10 Soil_Type_11 Soil_Type_12 Soil_Type_13 Soil_Type_14 Soil_Type_15 Soil_Type_16 Soil_Type_17 Soil_Type_18 Soil_Type_19 Soil_Type_20 Soil_Type_21 Soil_Type_22 Soil_Type_23 Soil_Type_24 Soil_Type_25 Soil_Type_26 Soil_Type_27 Soil_Type_28 Soil_Type_29 Soil_Type_30 Soil_Type_31 Soil_Type_32 Soil_Type_33 Soil_Type_34 Soil_Type_35 Soil_Type_36 into model_SGDRegressor_t500_f50,500,Good Job,12.0,98.3,0.299,0.6,66.0,1.096
fit,SGDRegressor,aws.m3.large_fit_SGDRegressor_i1000_f50,50,1000,| inputlookup cover_1000.csv | fit SGDRegressor "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 Soil_Type_7 Soil_Type_8 Soil_Type_9 Soil_Type_10 Soil_Type_11 Soil_Type_12 Soil_Type_13 Soil_Type_14 Soil_Type_15 Soil_Type_16 Soil_Type_17 Soil_Type_18 Soil_Type_19 Soil_Type_20 Soil_Type_21 Soil_Type_22 Soil_Type_23 Soil_Type_24 Soil_Type_25 Soil_Type_26 Soil_Type_27 Soil_Type_28 Soil_Type_29 Soil_Type_30 Soil_Type_31 Soil_Type_32 Soil_Type_33 Soil_Type_34 Soil_Type_35 Soil_Type_36 into model_SGDRegressor_t1000_f50,1000,Good Job,12.0,98.5,0.375,0.63,68.0,1.144
fit,SGDRegressor,aws.m3.large_fit_SGDRegressor_i2000_f50,50,2000,| inputlookup cover_2000.csv | fit SGDRegressor "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 Soil_Type_7 Soil_Type_8 Soil_Type_9 Soil_Type_10 Soil_Type_11 Soil_Type_12 Soil_Type_13 Soil_Type_14 Soil_Type_15 Soil_Type_16 Soil_Type_17 Soil_Type_18 Soil_Type_19 Soil_Type_20 Soil_Type_21 Soil_Type_22 Soil_Type_23 Soil_Type_24 Soil_Type_25 Soil_Type_26 Soil_Type_27 Soil_Type_28 Soil_Type_29 Soil_Type_30 Soil_Type_31 Soil_Type_32 Soil_Type_33 Soil_Type_34 Soil_Type_35 Soil_Type_36 into model_SGDRegressor_t2000_f50,2000,Good Job,20.0,99.0,0.472,0.68,77.0,1.304
fit,SGDRegressor,aws.m3.large_fit_SGDRegressor_i5000_f50,50,5000,| inputlookup cover_5000.csv | fit SGDRegressor "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 Soil_Type_7 Soil_Type_8 Soil_Type_9 Soil_Type_10 Soil_Type_11 Soil_Type_12 Soil_Type_13 Soil_Type_14 Soil_Type_15 Soil_Type_16 Soil_Type_17 Soil_Type_18 Soil_Type_19 Soil_Type_20 Soil_Type_21 Soil_Type_22 Soil_Type_23 Soil_Type_24 Soil_Type_25 Soil_Type_26 Soil_Type_27 Soil_Type_28 Soil_Type_29 Soil_Type_30 Soil_Type_31 Soil_Type_32 Soil_Type_33 Soil_Type_34 Soil_Type_35 Soil_Type_36 into model_SGDRegressor_t5000_f50,5000,Good Job,24.0,103.0,0.816,0.83,91.0,1.665
fit,SGDRegressor,aws.m3.large_fit_SGDRegressor_i10000_f50,50,10000,| inputlookup cover_10000.csv | fit SGDRegressor "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 Soil_Type_7 Soil_Type_8 Soil_Type_9 Soil_Type_10 Soil_Type_11 Soil_Type_12 Soil_Type_13 Soil_Type_14 Soil_Type_15 Soil_Type_16 Soil_Type_17 Soil_Type_18 Soil_Type_19 Soil_Type_20 Soil_Type_21 Soil_Type_22 Soil_Type_23 Soil_Type_24 Soil_Type_25 Soil_Type_26 Soil_Type_27 Soil_Type_28 Soil_Type_29 Soil_Type_30 Soil_Type_31 Soil_Type_32 Soil_Type_33 Soil_Type_34 Soil_Type_35 Soil_Type_36 into model_SGDRegressor_t10000_f50,10000,Good Job,20.0,99.6,1.345,1.05,116.0,2.281
fit,SGDRegressor,aws.m3.large_fit_SGDRegressor_i20000_f50,50,20000,| inputlookup cover_20000.csv | fit SGDRegressor "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 Soil_Type_7 Soil_Type_8 Soil_Type_9 Soil_Type_10 Soil_Type_11 Soil_Type_12 Soil_Type_13 Soil_Type_14 Soil_Type_15 Soil_Type_16 Soil_Type_17 Soil_Type_18 Soil_Type_19 Soil_Type_20 Soil_Type_21 Soil_Type_22 Soil_Type_23 Soil_Type_24 Soil_Type_25 Soil_Type_26 Soil_Type_27 Soil_Type_28 Soil_Type_29 Soil_Type_30 Soil_Type_31 Soil_Type_32 Soil_Type_33 Soil_Type_34 Soil_Type_35 Soil_Type_36 into model_SGDRegressor_t20000_f50,20000,Good Job,20.0,99.8,2.412,1.56,169.0,3.574
fit,SGDRegressor,aws.m3.large_fit_SGDRegressor_i50000_f50,50,50000,| inputlookup cover_50000.csv | fit SGDRegressor "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 Soil_Type_7 Soil_Type_8 Soil_Type_9 Soil_Type_10 Soil_Type_11 Soil_Type_12 Soil_Type_13 Soil_Type_14 Soil_Type_15 Soil_Type_16 Soil_Type_17 Soil_Type_18 Soil_Type_19 Soil_Type_20 Soil_Type_21 Soil_Type_22 Soil_Type_23 Soil_Type_24 Soil_Type_25 Soil_Type_26 Soil_Type_27 Soil_Type_28 Soil_Type_29 Soil_Type_30 Soil_Type_31 Soil_Type_32 Soil_Type_33 Soil_Type_34 Soil_Type_35 Soil_Type_36 into model_SGDRegressor_t50000_f50,50000,Good Job,36.0,103.3,5.588,2.89,326.0,7.231
fit,SGDRegressor,aws.m3.large_fit_SGDRegressor_i100000_f50,50,100000,| inputlookup cover_100000.csv | fit SGDRegressor "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 Soil_Type_7 Soil_Type_8 Soil_Type_9 Soil_Type_10 Soil_Type_11 Soil_Type_12 Soil_Type_13 Soil_Type_14 Soil_Type_15 Soil_Type_16 Soil_Type_17 Soil_Type_18 Soil_Type_19 Soil_Type_20 Soil_Type_21 Soil_Type_22 Soil_Type_23 Soil_Type_24 Soil_Type_25 Soil_Type_26 Soil_Type_27 Soil_Type_28 Soil_Type_29 Soil_Type_30 Soil_Type_31 Soil_Type_32 Soil_Type_33 Soil_Type_34 Soil_Type_35 Soil_Type_36 into model_SGDRegressor_t100000_f50,100000,Good Job,20.0,103.1,15.724,5.3,540.0,22.134
fit,SGDRegressor,aws.m3.large_fit_SGDRegressor_i200000_f50,50,200000,| inputlookup cover_200000.csv | fit SGDRegressor "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 Soil_Type_7 Soil_Type_8 Soil_Type_9 Soil_Type_10 Soil_Type_11 Soil_Type_12 Soil_Type_13 Soil_Type_14 Soil_Type_15 Soil_Type_16 Soil_Type_17 Soil_Type_18 Soil_Type_19 Soil_Type_20 Soil_Type_21 Soil_Type_22 Soil_Type_23 Soil_Type_24 Soil_Type_25 Soil_Type_26 Soil_Type_27 Soil_Type_28 Soil_Type_29 Soil_Type_30 Soil_Type_31 Soil_Type_32 Soil_Type_33 Soil_Type_34 Soil_Type_35 Soil_Type_36 into model_SGDRegressor_t200000_f50,100000,Good Job,44.0,105.7,19.833,6.35,557.0,28.568
fit,SGDRegressor,aws.m3.large_fit_SGDRegressor_i500000_f50,50,500000,| inputlookup cover_500000.csv | fit SGDRegressor "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 Soil_Type_7 Soil_Type_8 Soil_Type_9 Soil_Type_10 Soil_Type_11 Soil_Type_12 Soil_Type_13 Soil_Type_14 Soil_Type_15 Soil_Type_16 Soil_Type_17 Soil_Type_18 Soil_Type_19 Soil_Type_20 Soil_Type_21 Soil_Type_22 Soil_Type_23 Soil_Type_24 Soil_Type_25 Soil_Type_26 Soil_Type_27 Soil_Type_28 Soil_Type_29 Soil_Type_30 Soil_Type_31 Soil_Type_32 Soil_Type_33 Soil_Type_34 Soil_Type_35 Soil_Type_36 into model_SGDRegressor_t500000_f50,100000,Good Job,52.0,103.7,30.14,8.87,564.0,45.726
fit,SGDRegressor,aws.m3.large_fit_SGDRegressor_i1000000_f50,50,1000000,| inputlookup cover_1000000.csv | fit SGDRegressor "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 Soil_Type_7 Soil_Type_8 Soil_Type_9 Soil_Type_10 Soil_Type_11 Soil_Type_12 Soil_Type_13 Soil_Type_14 Soil_Type_15 Soil_Type_16 Soil_Type_17 Soil_Type_18 Soil_Type_19 Soil_Type_20 Soil_Type_21 Soil_Type_22 Soil_Type_23 Soil_Type_24 Soil_Type_25 Soil_Type_26 Soil_Type_27 Soil_Type_28 Soil_Type_29 Soil_Type_30 Soil_Type_31 Soil_Type_32 Soil_Type_33 Soil_Type_34 Soil_Type_35 Soil_Type_36 into model_SGDRegressor_t1000000_f50,100000,Good Job,72.0,103.9,46.713,12.84,589.0,73.787
fit,LogisticRegression,aws.m3.large_fit_LogisticRegression_i500_f10,10,500,| inputlookup cover_500.csv | fit LogisticRegression "Cover_Type" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_LogisticRegression_t500_f10,500,Good Job,12.0,98.2,0.37,0.63,66.0,1.149
fit,LogisticRegression,aws.m3.large_fit_LogisticRegression_i1000_f10,10,1000,| inputlookup cover_1000.csv | fit LogisticRegression "Cover_Type" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_LogisticRegression_t1000_f10,1000,Good Job,20.0,95.1,0.445,0.7,70.0,1.251
fit,LogisticRegression,aws.m3.large_fit_LogisticRegression_i2000_f10,10,2000,| inputlookup cover_2000.csv | fit LogisticRegression "Cover_Type" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_LogisticRegression_t2000_f10,2000,Good Job,12.0,99.0,0.597,0.8,73.0,1.43
fit,LogisticRegression,aws.m3.large_fit_LogisticRegression_i5000_f10,10,5000,| inputlookup cover_5000.csv | fit LogisticRegression "Cover_Type" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_LogisticRegression_t5000_f10,5000,Good Job,16.0,99.3,1.066,1.11,90.0,1.94
fit,LogisticRegression,aws.m3.large_fit_LogisticRegression_i10000_f10,10,10000,| inputlookup cover_10000.csv | fit LogisticRegression "Cover_Type" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_LogisticRegression_t10000_f10,10000,Good Job,20.0,100.3,1.862,1.7,111.0,2.84
fit,LogisticRegression,aws.m3.large_fit_LogisticRegression_i20000_f10,10,20000,| inputlookup cover_20000.csv | fit LogisticRegression "Cover_Type" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_LogisticRegression_t20000_f10,20000,Good Job,12.0,99.3,3.485,2.62,152.0,4.644
fit,LogisticRegression,aws.m3.large_fit_LogisticRegression_i50000_f10,10,50000,| inputlookup cover_50000.csv | fit LogisticRegression "Cover_Type" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_LogisticRegression_t50000_f10,50000,Good Job,28.0,103.1,8.539,5.99,285.0,10.17
fit,LogisticRegression,aws.m3.large_fit_LogisticRegression_i100000_f10,10,100000,| inputlookup cover_100000.csv | fit LogisticRegression "Cover_Type" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_LogisticRegression_t100000_f10,100000,Good Job,48.0,103.5,21.867,12.36,458.0,28.177
fit,LogisticRegression,aws.m3.large_fit_LogisticRegression_i200000_f10,10,200000,| inputlookup cover_200000.csv | fit LogisticRegression "Cover_Type" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_LogisticRegression_t200000_f10,100000,Good Job,36.0,106.9,26.212,13.62,516.0,34.858
fit,LogisticRegression,aws.m3.large_fit_LogisticRegression_i500000_f10,10,500000,| inputlookup cover_500000.csv | fit LogisticRegression "Cover_Type" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_LogisticRegression_t500000_f10,100000,Good Job,44.0,103.5,36.787,16.44,495.0,52.348
fit,LogisticRegression,aws.m3.large_fit_LogisticRegression_i1000000_f10,10,1000000,| inputlookup cover_1000000.csv | fit LogisticRegression "Cover_Type" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_LogisticRegression_t1000000_f10,100000,Good Job,88.0,103.3,55.216,21.75,519.0,82.335
fit,LogisticRegression,aws.m3.large_fit_LogisticRegression_i500_f20,20,500,| inputlookup cover_500.csv | fit LogisticRegression "Cover_Type" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 into model_LogisticRegression_t500_f20,500,Good Job,20.0,99.2,0.343,0.62,66.0,1.135
fit,LogisticRegression,aws.m3.large_fit_LogisticRegression_i1000_f20,20,1000,| inputlookup cover_1000.csv | fit LogisticRegression "Cover_Type" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 into model_LogisticRegression_t1000_f20,1000,Good Job,28.0,102.1,0.462,0.74,68.0,1.262
fit,LogisticRegression,aws.m3.large_fit_LogisticRegression_i2000_f20,20,2000,| inputlookup cover_2000.csv | fit LogisticRegression "Cover_Type" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 into model_LogisticRegression_t2000_f20,2000,Good Job,12.0,96.1,0.657,0.87,73.0,1.499
fit,LogisticRegression,aws.m3.large_fit_LogisticRegression_i5000_f20,20,5000,| inputlookup cover_5000.csv | fit LogisticRegression "Cover_Type" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 into model_LogisticRegression_t5000_f20,5000,Good Job,20.0,98.6,1.287,1.31,89.0,2.14
fit,LogisticRegression,aws.m3.large_fit_LogisticRegression_i10000_f20,20,10000,| inputlookup cover_10000.csv | fit LogisticRegression "Cover_Type" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 into model_LogisticRegression_t10000_f20,10000,Good Job,20.0,102.4,2.405,2.15,112.0,3.363
fit,LogisticRegression,aws.m3.large_fit_LogisticRegression_i20000_f20,20,20000,| inputlookup cover_20000.csv | fit LogisticRegression "Cover_Type" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 into model_LogisticRegression_t20000_f20,20000,Good Job,28.0,99.4,4.295,3.37,160.0,5.426
fit,LogisticRegression,aws.m3.large_fit_LogisticRegression_i50000_f20,20,50000,| inputlookup cover_50000.csv | fit LogisticRegression "Cover_Type" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 into model_LogisticRegression_t50000_f20,50000,Good Job,24.0,103.1,11.527,8.84,305.0,13.157
fit,LogisticRegression,aws.m3.large_fit_LogisticRegression_i100000_f20,20,100000,| inputlookup cover_100000.csv | fit LogisticRegression "Cover_Type" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 into model_LogisticRegression_t100000_f20,100000,Good Job,64.0,103.2,30.898,21.01,491.0,37.202
fit,LogisticRegression,aws.m3.large_fit_LogisticRegression_i200000_f20,20,200000,| inputlookup cover_200000.csv | fit LogisticRegression "Cover_Type" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 into model_LogisticRegression_t200000_f20,100000,Good Job,48.0,105.3,33.587,20.77,501.0,42.153
fit,LogisticRegression,aws.m3.large_fit_LogisticRegression_i500000_f20,20,500000,| inputlookup cover_500000.csv | fit LogisticRegression "Cover_Type" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 into model_LogisticRegression_t500000_f20,100000,Good Job,68.0,107.0,45.492,24.77,514.0,60.964
fit,LogisticRegression,aws.m3.large_fit_LogisticRegression_i1000000_f20,20,1000000,| inputlookup cover_1000000.csv | fit LogisticRegression "Cover_Type" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 into model_LogisticRegression_t1000000_f20,100000,Good Job,92.0,103.3,61.975,28.78,568.0,88.85
